origin,year_x,month,day,temp,mean_temp
EWR,2013,1,1,30.02,30.02
EWR,2013,1,1,32.0,32.0
EWR,2013,1,1,33.08,33.08
EWR,2013,1,1,33.98,33.98
EWR,2013,1,1,35.96,35.96
EWR,2013,1,1,37.04,37.04
EWR,2013,1,1,37.94,37.94
EWR,2013,1,1,39.02,39.02
EWR,2013,1,1,39.2,39.2
EWR,2013,1,1,39.92,39.92000000000001
EWR,2013,1,1,41.0,41.0
EWR,2013,1,2,24.08,24.08
EWR,2013,1,2,24.98,24.979999999999997
EWR,2013,1,2,26.96,26.96
EWR,2013,1,2,28.94,28.94
EWR,2013,1,2,30.02,30.02
EWR,2013,1,2,30.92,30.920000000000005
EWR,2013,1,2,32.0,32.0
EWR,2013,1,2,33.98,33.98
EWR,2013,1,3,26.06,26.06
EWR,2013,1,3,26.96,26.959999999999997
EWR,2013,1,3,28.04,28.04
EWR,2013,1,3,30.02,30.020000000000003
EWR,2013,1,3,30.92,30.92000000000001
EWR,2013,1,3,32.0,32.0
EWR,2013,1,3,33.08,33.08
EWR,2013,1,3,33.98,33.98
EWR,2013,1,4,33.08,33.08
EWR,2013,1,4,33.98,33.98
EWR,2013,1,4,35.06,35.06
EWR,2013,1,4,35.96,35.96
EWR,2013,1,4,37.04,37.04
EWR,2013,1,4,37.94,37.94
EWR,2013,1,4,39.92,39.92
EWR,2013,1,5,32.0,32.0
EWR,2013,1,5,33.08,33.08
EWR,2013,1,5,33.98,33.98
EWR,2013,1,5,35.06,35.06
EWR,2013,1,5,37.94,37.94
EWR,2013,1,5,39.02,39.02
EWR,2013,1,5,39.92,39.92
EWR,2013,1,5,41.0,41.0
EWR,2013,1,5,42.08,42.08
EWR,2013,1,5,42.98,42.98
EWR,2013,1,5,44.06,44.06
EWR,2013,1,6,33.98,33.98
EWR,2013,1,6,35.06,35.06
EWR,2013,1,6,35.96,35.96
EWR,2013,1,6,37.4,37.4
EWR,2013,1,6,39.92,39.92
EWR,2013,1,6,42.08,42.08
EWR,2013,1,6,42.98,42.98
EWR,2013,1,6,44.06,44.06
EWR,2013,1,6,44.96,44.96
EWR,2013,1,6,46.04,46.04
EWR,2013,1,6,46.94,46.94
EWR,2013,1,6,48.02,48.02
EWR,2013,1,7,35.96,35.96
EWR,2013,1,7,37.04,37.04
EWR,2013,1,7,37.94,37.94
EWR,2013,1,7,39.92,39.92
EWR,2013,1,7,41.0,41.0
EWR,2013,1,7,42.08,42.08
EWR,2013,1,7,42.98,42.98
EWR,2013,1,7,44.06,44.06
EWR,2013,1,7,44.96,44.96
EWR,2013,1,7,46.04,46.04
EWR,2013,1,7,46.94,46.94
EWR,2013,1,8,28.94,28.94
EWR,2013,1,8,30.02,30.02
EWR,2013,1,8,30.92,30.920000000000005
EWR,2013,1,8,35.06,35.06
EWR,2013,1,8,37.94,37.94
EWR,2013,1,8,39.02,39.02
EWR,2013,1,8,39.92,39.92
EWR,2013,1,8,44.06,44.06
EWR,2013,1,8,46.04,46.04
EWR,2013,1,8,46.94,46.94
EWR,2013,1,8,48.92,48.92
EWR,2013,1,9,33.98,33.98
EWR,2013,1,9,35.06,35.06
EWR,2013,1,9,37.04,37.04
EWR,2013,1,9,44.06,44.06
EWR,2013,1,9,44.96,44.96
EWR,2013,1,9,46.04,46.04
EWR,2013,1,9,46.94,46.94
EWR,2013,1,9,48.02,48.02
EWR,2013,1,9,48.92,48.919999999999995
EWR,2013,1,9,50.0,50.0
EWR,2013,1,10,39.92,39.92
EWR,2013,1,10,41.0,41.0
EWR,2013,1,10,42.98,42.98
EWR,2013,1,10,44.06,44.06
EWR,2013,1,10,44.96,44.96
EWR,2013,1,10,46.04,46.04
EWR,2013,1,10,46.94,46.94
EWR,2013,1,10,48.92,48.92
EWR,2013,1,10,50.0,50.0
EWR,2013,1,11,37.94,37.94
EWR,2013,1,11,39.02,39.02
EWR,2013,1,11,41.0,41.0
EWR,2013,1,11,42.08,42.08
EWR,2013,1,11,42.98,42.98
EWR,2013,1,11,44.06,44.06
EWR,2013,1,11,44.96,44.96
EWR,2013,1,11,46.4,46.39999999999999
EWR,2013,1,12,44.06,44.06
EWR,2013,1,12,44.96,44.96
EWR,2013,1,12,46.04,46.04
EWR,2013,1,12,46.94,46.940000000000005
EWR,2013,1,12,48.02,48.019999999999996
EWR,2013,1,12,48.2,48.2
